96538:14025172|5,2,0,0,0,14,1,0,0,0,6,2,1,0,0,14,0,0,0,0,0,1,0,0,0
96538:14025181|2,3,0,0,0,15,1,0,1,0,9,2,0,0,0,5,3,0,0,0,3,0,4,0,0
96538:14025025|2,3,1,0,1,18,1,0,0,0,9,1,0,0,0,13,6,1,0,0,4,7,3,0,0
96538:15359735|11,2,1,1,2,5,1,1,0,0,2,0,0,0,0,16,6,0,0,0,15,7,1,0,0
96538:14572701|3,0,1,0,0,8,1,0,0,0,5,2,1,0,0,10,6,0,0,0,5,5,0,0,0
331737:14024004|1,1,2,2,0,7,4,4,1,1,2,5,12,6,3,0,7,6,6,1,0,0,2,1,0
331737:14025030|1,0,0,0,1,3,16,0,1,1,1,11,7,3,0,4,3,4,2,0,4,3,3,2,0
331737:15632617|2,0,1,0,0,2,11,1,3,0,1,7,5,1,2,4,7,8,1,0,2,3,3,2,0
331737:15632621|2,0,1,0,0,1,4,2,0,0,1,5,2,1,0,3,7,8,3,0,2,2,6,1,0
331737:15632626|0,2,0,1,0,2,4,2,2,1,5,11,9,4,1,4,11,8,0,0,0,1,1,0,0
331737:14023929|1,0,1,0,0,1,7,8,4,1,3,15,18,6,1,5,12,6,3,0,3,2,1,0,0
331737:14025136|0,0,0,0,0,7,3,6,1,0,5,7,6,1,0,0,9,2,0,0,0,1,2,1,0
331737:14025064|3,1,2,0,0,6,16,6,6,2,2,4,8,11,0,2,6,6,6,1,0,0,0,1,1
331737:14025016|1,0,1,1,0,4,3,6,4,0,0,4,1,5,0,0,5,0,3,0,1,1,1,0,0
331737:14025119|3,0,0,0,3,2,5,6,5,0,1,2,7,0,1,0,9,5,1,0,2,4,5,0,0
331737:14025091|0,0,3,0,0,7,14,13,2,0,0,21,17,3,2,5,9,1,3,0,0,1,1,0,0
331737:14025093|3,0,1,3,2,4,7,10,8,0,1,6,11,2,0,2,3,2,3,0,0,2,3,1,0
331737:14025156|1,1,2,1,1,0,9,0,6,5,0,3,7,3,4,1,5,3,4,0,2,0,0,3,0
331737:14572701|3,0,2,0,2,4,3,3,3,1,0,9,5,1,1,3,7,5,0,0,1,1,3,1,0
331737:14572678|3,0,2,3,2,4,5,8,6,2,0,11,7,1,0,2,6,4,1,0,0,0,0,0,0
331737:14023928|1,1,0,0,0,3,1,2,5,0,7,5,6,3,0,1,8,5,4,0,0,4,2,0,0
331737:14025068|6,5,1,0,0,7,27,9,4,3,2,10,13,2,0,5,4,10,4,0,0,0,3,0,0
331737:14025078|0,0,4,1,0,4,12,2,4,0,8,10,15,5,0,4,12,6,1,0,1,2,3,1,0
331737:14025025|1,1,0,2,1,2,5,6,2,1,3,2,7,2,0,8,10,5,4,0,0,7,2,1,0
331737:14025058|0,1,1,0,0,4,6,2,6,1,3,16,10,5,0,4,10,8,0,0,1,0,0,0,0
331737:15632625|0,0,2,0,1,3,7,6,4,3,3,8,9,6,1,0,1,1,4,2,1,3,0,3,0
331737:14025254|1,2,1,0,0,2,4,3,2,0,0,7,7,1,0,4,6,12,3,1,0,1,2,0,3
331737:14025210|3,5,0,0,1,2,8,6,0,3,6,8,8,4,2,3,4,6,4,0,0,1,0,4,0
331737:14023927|3,0,0,1,4,8,7,1,0,1,4,8,7,2,0,1,7,5,3,0,3,3,2,0,0
331737:14025240|3,2,0,2,4,1,2,1,2,4,1,4,7,0,0,7,7,5,4,0,3,10,4,1,0
331737:14025216|3,1,0,0,1,2,3,2,3,0,2,10,11,7,2,1,8,4,1,3,0,0,2,0,1
331737:14025276|6,3,0,2,1,12,19,13,17,4,5,17,12,4,1,2,6,6,3,0,0,1,2,0,0
331737:15632623|3,0,1,2,2,4,3,5,3,1,1,3,7,7,1,0,10,8,3,0,0,0,1,0,0
930245:12450187|3,1,6,3,1,3,7,1,4,3,3,1,0,3,3,2,0,0,2,0,0,0,0,0,1
930245:14023981|1,0,1,0,1,3,6,3,2,3,1,3,7,3,2,2,4,0,0,0,0,0,0,0,0
930245:14572677|0,0,0,2,2,0,0,0,1,11,0,0,0,0,9,0,0,0,2,7,0,0,0,1,1
